도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
덕산아내프리미엄아파트 작은도서관,경상남도,거제시,작은도서관,"매주월요일, 공휴일",16:00,22:00,16:00,22:00,16:00,22:00,40,10345,0,0,3,7,"경상남도 거제시 아주로 100-10(아주동, 덕산아내프리미엄1차)",경상남도 거제시 덕산아내프리미엄1차아파트입주자대표회,055-681-9766,31675,142,,34.86643348,128.6849359,2020-01-30,5370000,경상남도 거제시
강하작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,48,12033,0,0,7,14,경기도 양평군 강하면 운심길 47,경기도 양평군청,031-771-4302,634,179,http://www.yplib.go.kr,37.4961765159,127.4112172088,2020-03-06,4170000,경기도 양평군
강상작은도서관,경기도,양평군,작은도서관,"매주일,월/공휴일",09:00,18:00,09:00,18:00,00:00,00:00,36,8138,0,0,7,14,경기도 양평군 강상면 송학길 60,경기도 양평군청,031-775-7483,3927,140,http://www.yplib.go.kr,37.480695,127.478067,2020-03-06,4170000,경기도 양평군
양동도서관,경기도,양평군,공공도서관,"신정,설,추석연휴",08:00,22:00,08:00,22:00,08:00,22:00,200,46393,16,3957,7,14,경기도 양평군 양동면 학둔지아래길 93,경기도 양평군청,031-770-2571,3434,1314,http://www.yplib.go.kr,37.4191910806,127.7546882143,2020-03-06,4170000,경기도 양평군
지평도서관,경기도,양평군,공공도서관,"신정,설,추석연휴",08:00,22:00,08:00,22:00,08:00,22:00,162,42674,20,1403,7,14,경기도 양평군 지평면 지평의병로116번길 5-1,경기도 양평군청,031-770-2561,2215,1045,http://www.yplib.go.kr,37.4737193725,127.6385165678,2020-03-06,4170000,경기도 양평군
용문도서관,경기도,양평군,공공도서관,"신정,설,추석연휴",08:00,00:00,08:00,00:00,08:00,00:00,302,92824,11,3497,7,14,경기도 양평군 용문면 용문로 395,경기도 양평군청,031-770-2709,1655,1451,http://www.yplib.go.kr,37.4871684148,127.5962168203,2020-03-06,4170000,경기도 양평군
양서친환경도서관,경기도,양평군,공공도서관,"신정,설,추석연휴",08:00,00:00,08:00,00:00,08:00,00:00,293,84032,15,3339,7,14,경기도 양평군 양서면 양수로 110,경기도 양평군청,031-770-2591,2934,1497,http://www.yplib.go.kr,37.5425052991,127.3233070974,2020-03-06,4170000,경기도 양평군
어린이도서관,경기도,양평군,공공도서관,매주월/공휴일,09:00,18:00,09:00,18:00,09:00,18:00,475,80327,16,5481,7,14,경기도 양평군 양평읍 양근로 240-9,경기도 양평군청,031-770-2758,5236,1970,http://www.yplib.go.kr,37.4859108923,127.4943423981,2020-03-06,4170000,경기도 양평군
별빛도서관,경기도,남양주시,공공도서관,"매월 첫째·셋째 월요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,332,67988,135,1059,20,14,경기도 남양주시 별내중앙로 102,경기도 남양주시청,031-590-5349,4200,6638,http://lib.nyj.go.kr/bbit,37.6509370060,127.1203256792,2020-01-20,3990000,경기도 남양주시
퇴계원도서관,경기도,남양주시,공공도서관,"매월 둘째·넷째 월요일, 1월 1일, 설날·추석 연휴(대체공휴일 포함)",08:00,22:00,08:00,22:00,08:00,22:00,145,91772,123,2663,20,14,경기도 남양주시 퇴계원면 도제원로 12,경기도 남양주시청,031-590-3910,1026,2893,http://lib.nyj.go.kr/toegyewon,37.6491214,127.1452884,2020-01-20,3990000,경기도 남양주시
대림동산작은도서관,경기도,안성시,작은도서관,"1)매주월,금요일 2)국가지정공휴일",10:00,19:00,10:00,19:00,00:00,24:00,10,4103,10,0,10,14,경기도 안성시 공도읍 대림동산길 38,경기도 안성시,070-4942-0049,,29,http://www.anseong.go.kr/library,37.0141772178,127.2031120897,2020-03-04,4080000,경기도 안성시
삼죽작은도서관,경기도,안성시,작은도서관,1)매주일요일 2)국가지정공휴일,09:00,18:00,09:00,18:00,00:00,24:00,42,19982,13,313,10,14,"경기도 안성시 삼죽면 삼죽로 112, 2층(삼죽복지회관)",경기도 안성시,031-671-7940,,345,http://www.anseong.go.kr/library,37.0732077197,127.3749616062,2020-03-04,4080000,경기도 안성시
죽산작은도서관,경기도,안성시,작은도서관,1)매주일요일 2)국가지정공휴일,10:00,19:00,10:00,19:00,00:00,24:00,28,24358,13,403,10,14,경기도 안성시 죽산면 중부길 41,경기도 안성시,031-677-7941,,365,http://www.anseong.go.kr/library,37.0770077308,127.4238622,2020-03-04,4080000,경기도 안성시
